Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W
2461,ATI Radeon HD 5450,GPU,2010-02-04,40.0,19.0,59.0,292.0,650.0,TSMC,ATI,0.0,104.0,0.0,low<30,2010.0,4.9491525423728815,0.0,5.473684210526316,0.0
2462,NVIDIA GeForce MX330,GPU,2020-02-10,14.0,10.0,74.0,1800.0,1531.0,Samsung,NVIDIA,19.13,1224.0,38.26,low<30,2020.0,24.324324324324323,1.9129999999999998,122.4,3.8259999999999996
2463,AMD Radeon R3 Mobile Graphics,GPU,2016-06-01,28.0,15.0,125.0,1200.0,200.0,GF,AMD,167.7,167.7,10.48,low<30,2016.0,9.6,11.18,11.18,0.6986666666666667
2464,AMD Radeon Vega 8 Embedded,GPU,2018-02-13,14.0,15.0,210.0,4940.0,300.0,GF,AMD,2253.0,1126.0,70.4,low<30,2018.0,23.523809523809526,150.2,75.06666666666666,4.693333333333333
2465,Intel HD Graphics,GPU,2010-01-10,45.0,35.0,114.0,177.0,533.0,Intel,Intel,0.0,102.3,0.0,medium <100,2010.0,1.5526315789473684,0.0,2.9228571428571426,0.0
2466,3dfx Voodoo5 5500 PCI,GPU,2000-06-22,250.0,30.0,112.0,14.0,166.0,TSMC,Other,0.0,0.0,0.0,low<30,2000.0,0.125,0.0,0.0,0.0
2467,NVIDIA GeForce 6600 GT Dual,GPU,2004-08-12,110.0,65.0,154.0,146.0,500.0,TSMC,NVIDIA,0.0,0.0,0.0,,2004.0,0.948051948051948,0.0,0.0,0.0
2468,AMD Radeon R9 290X,GPU,2013-10-24,28.0,290.0,438.0,6200.0,1000.0,TSMC,AMD,0.0,5632.0,704.0,,2013.0,14.155251141552512,0.0,19.420689655172414,2.4275862068965517
2469,AMD Radeon R9 270,GPU,2013-11-13,28.0,150.0,212.0,2800.0,900.0,TSMC,AMD,0.0,2368.0,148.0,high <200,2013.0,13.20754716981132,0.0,15.786666666666667,0.9866666666666667
2470,AMD Radeon RX 5700 XT,GPU,2019-07-07,7.0,225.0,251.0,10300.0,1605.0,TSMC,AMD,19510.0,9754.0,609.6,,2019.0,41.03585657370518,86.71111111111111,43.35111111111111,2.7093333333333334
2471,NVIDIA NVS 3100M,GPU,2010-01-07,40.0,14.0,57.0,260.0,606.0,TSMC,NVIDIA,0.0,46.98,0.0,low<30,2010.0,4.56140350877193,0.0,3.3557142857142854,0.0
2472,ATI Radeon DDR MAXX,GPU,2000-06-01,180.0,65.0,115.0,30.0,148.0,TSMC,ATI,0.0,0.0,0.0,,2000.0,0.2608695652173913,0.0,0.0,0.0
2473,NVIDIA Quadro NVS 440,GPU,2006-02-14,110.0,31.0,154.0,146.0,250.0,TSMC,NVIDIA,0.0,0.0,0.0,medium <100,2006.0,0.948051948051948,0.0,0.0,0.0
2474,NVIDIA GRID K260Q,GPU,2013-06-28,28.0,225.0,294.0,3540.0,745.0,TSMC,NVIDIA,0.0,2289.0,95.36,,2013.0,12.040816326530612,0.0,10.173333333333334,0.4238222222222222
2475,NVIDIA GeForce 9300 + nForce 730i,GPU,2007-04-17,65.0,40.0,144.0,314.0,450.0,Unknown,NVIDIA,0.0,35.2,0.0,medium <100,2007.0,2.1805555555555554,0.0,0.8800000000000001,0.0
2476,NVIDIA GeForce GTX 1060 5 GB,GPU,2017-12-26,16.0,120.0,200.0,4400.0,1506.0,TSMC,NVIDIA,68.36,4375.0,136.7,high <200,2017.0,22.0,0.5696666666666667,36.458333333333336,1.1391666666666667
2477,AMD Radeon R7 M260DX,GPU,2014-01-07,28.0,65.0,56.0,690.0,955.0,TSMC,AMD,0.0,659.2,41.2,,2014.0,12.321428571428571,0.0,10.141538461538461,0.6338461538461538
2478,Intel Xeon Phi SE10X,GPU,2012-11-12,22.0,300.0,350.0,5000.0,1100.0,Intel,Intel,0.0,536.8,0.0,,2012.0,14.285714285714286,0.0,1.7893333333333332,0.0
2479,AMD Radeon HD 7480D IGP,GPU,2012-10-02,32.0,65.0,246.0,1303.0,720.0,TSMC,AMD,0.0,184.3,0.0,medium <100,2012.0,5.296747967479675,0.0,2.8353846153846156,0.0
2480,NVIDIA GeForce GTX 1060 6 GB GP104,GPU,2018-03-08,16.0,120.0,314.0,7200.0,1506.0,TSMC,NVIDIA,68.32,4372.0,136.6,high <200,2018.0,22.929936305732483,0.5693333333333332,36.43333333333333,1.1383333333333332
2481,AMD Radeon HD 6970,GPU,2010-12-14,40.0,250.0,389.0,2640.0,880.0,TSMC,AMD,0.0,2703.0,675.8,,2010.0,6.786632390745501,0.0,10.812,2.7032
2482,AMD Radeon R7 250XE,GPU,2014-08-21,28.0,80.0,123.0,1500.0,860.0,TSMC,AMD,0.0,1101.0,68.8,medium <100,2014.0,12.195121951219512,0.0,13.7625,0.86
2483,ATI Radeon IGP 345M,GPU,2002-10-05,180.0,65.0,73.0,30.0,183.0,Unknown,ATI,0.0,0.0,0.0,,2002.0,0.410958904109589,0.0,0.0,0.0
