Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W,Log Transistors (million),Log FP16 GFLOPS,Log FP32 GFLOPS,Log FP64 GFLOPS
1622,Intel Mobile Pentium 4 HT 518,CPU,2004-06-01,90.0,0.1323509679486474,-0.5991996192073301,125.0,1.2209663751054378,Intel,Intel,0.0,0.0,0.0,medium <100,2004.0,1.1160714285714286,0.0,0.0,0.0,-1.0162080364958788,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1623,Intel Core i7-1065G7,CPU,2019-08-01,10.0,-0.7573081608094445,-0.2886652991836356,624.0,-0.1826951031751827,Intel,Intel,0.0,0.0,0.0,low<30,2019.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1624,AMD Athlon 64 2850e,CPU,2008-08-01,65.0,-0.7996728812264965,-0.901107985897033,122.0,0.2851920562516908,Unknown,AMD,0.0,0.0,0.0,low<30,2008.0,1.5844155844155845,0.0,0.0,0.0,-1.032383685581819,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1625,Intel Core i7-6700,CPU,2015-07-01,14.0,-0.1924452219154178,-0.2886652991836356,624.0,1.782430966417686,Intel,Intel,0.0,0.0,0.0,medium <100,2015.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1626,AMD Athlon 64 X2 4800+,CPU,2006-12-05,65.0,-0.1924452219154178,-0.4784362725314489,154.0,0.9402340794493138,Unknown,AMD,0.0,0.0,0.0,medium <100,2006.0,1.2222222222222223,0.0,0.0,0.0,-0.8771617162097396,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1627,Intel Xeon 5080,CPU,2006-05-23,65.0,0.7254570537873755,-0.2886652991836356,624.0,2.091236491639423,Intel,Intel,0.0,0.0,0.0,high <200,2006.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1628,Intel Celeron G465,CPU,2012-09-01,32.0,-0.6160924260859378,-0.4353065058614914,504.0,0.3787694881370655,Intel,Intel,0.0,0.0,0.0,medium <100,2012.0,3.84732824427481,0.0,0.0,0.0,-0.0843177659974642,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1629,Intel Core i5-2405S,CPU,2011-05-22,32.0,-0.1924452219154178,0.2978995275277871,1160.0,0.9402340794493138,Intel,Intel,0.0,0.0,0.0,medium <100,2011.0,5.37037037037037,0.0,0.0,0.0,0.474489251859871,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1630,Intel Pentium III 1000S,CPU,2001-06-01,130.0,-0.6867002934476912,-0.8752301258950586,44.0,-0.4634273988313069,Intel,Intel,0.0,0.0,0.0,low<30,2001.0,0.55,0.0,0.0,0.0,-1.7073472308555468,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1631,Intel Pentium B960,CPU,2011-10-02,32.0,-0.6160924260859378,-0.4353065058614914,504.0,0.6595017837931896,Intel,Intel,0.0,0.0,0.0,medium <100,2011.0,3.84732824427481,0.0,0.0,0.0,-0.0843177659974642,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
